date	username	to	replies	retweets	favorites	text	geo	mentions	hashtags	id	permalink	
2.5.2020 19.29	JoeBiden	voxdotcom	8709	57847	161854	We left a playbook. He ignored it. We created an office to prepare for pandemics. He gutted it. We had CDC officials in China to detect and contain outbreaks. He pulled them out. Trump can try and shift blame all he wants, but the fact is his actions left us unprepared.				1,26E+18	https://twitter.com/JoeBiden/status/1256667024912244736	
2.5.2020 18.37	JoeBiden		1115	2442	12784	Mi corazón y el de Jill están con Puerto Rico a raíz de los terremotos de hoy. Mientras la isla enfrenta el impacto de este suceso y la pandemia del COVID-19 tenemos que asegurarnos que reciban los recursos y la asistencia que necesitan para recuperarse lo más pronto posible.				1,26E+18	https://twitter.com/JoeBiden/status/1256653934837538816	
2.5.2020 18.35	JoeBiden		1204	9555	50645	My heart and Jill's are with the people of Puerto Rico in the wake of another damaging earthquake. As the island grapples with both the impact of this earthquake and this pandemic, we need to ensure they get the resources and assistance needed to recover as soon as possible.				1,26E+18	https://twitter.com/JoeBiden/status/1256653431705497601	
2.5.2020 17.28	JoeBiden	AndrewDasNYT	2943	6039	32161	To @USWNT: don’t give up this fight. This is not over yet. To @USSoccer: equal pay, now. Or else when I'm president, you can go elsewhere for World Cup funding.		@USWNT @ussoccer		1,26E+18	https://twitter.com/JoeBiden/status/1256636638144446466	
2.5.2020 14.55	JoeBiden		3333	14613	63271	On March 6th, Donald Trump said: “Anybody that wants a test can get a test.” It was a lie then, and it's still not true nearly two months later. It's a disgrace, and it's slowing efforts to reopen safely. This administration needs to act immediately to surge testing nationwide.				1,26E+18	https://twitter.com/JoeBiden/status/1256598066800611329	
2.5.2020 0.03	JoeBiden		8041	10407	72936	When we come together and act as one America, there's not a single thing we cannot accomplish.				1,26E+18	https://twitter.com/JoeBiden/status/1256373587784630278	
1.5.2020 22.50	JoeBiden		1899	5100	23304	No one should have to pay for coronavirus treatment. Period.				1,26E+18	https://twitter.com/JoeBiden/status/1256355216934547456	
1.5.2020 19.37	JoeBiden	realDonaldTrump	11489	29808	113168	I'll say what Donald Trump won't: The Confederate flag, swastikas, and other symbols of hate that have been used in these protests have no place in America. The president should encourage folks to follow Gov. Whitmer’s public health orders — not sow further discord and division.				1,26E+18	https://twitter.com/JoeBiden/status/1256306743585370112	
1.5.2020 18.20	JoeBiden		692	1785	8909	As we mark the beginning of Asian Pacific American Heritage Month, @DrBiden and I extend our best wishes to AANHPI communities across America. We look forward to celebrating your extraordinary accomplishments and contributions in the month ahead.		@DrBiden		1,26E+18	https://twitter.com/JoeBiden/status/1256287268962254852	
1.5.2020 18.00	JoeBiden		4140	9090	54025	When we emerge from this crisis, we can't just go back to the way things were before. We have to build a better future for all. We can and will transform this nation — together.				1,26E+18	https://twitter.com/JoeBiden/status/1256282238393565184	
1.5.2020 15.15	JoeBiden		3157	17259	48486	This crisis isn't about you, Mr. President. It's about the American people.				1,26E+18	https://twitter.com/JoeBiden/status/1256240712036712453	
1.5.2020 12.57	JoeBiden		9585	12599	58469	We have lived long enough with a President who doesn’t think he is accountable to anyone, and takes responsibility for nothing. That’s not me. As a Presidential candidate, I’m accountable to the American people.				1,26E+18	https://twitter.com/JoeBiden/status/1256206136979738624	
1.5.2020 1.45	JoeBiden		2905	2806	14790	We need a president who listens.				1,26E+18	https://twitter.com/JoeBiden/status/1256036868967280643	
1.5.2020 1.00	JoeBiden		1485	4985	14907	We need more tests. Our front line workers need protective equipment. Americans need additional economic relief. Yet the Trump Administration is spending time and energy on President Trump's wasteful border wall. Unbelievable.				1,26E+18	https://twitter.com/JoeBiden/status/1256025544346517504	
